"","date","cityid","gps_retail_and_recreation","gps_grocery_and_pharmacy","gps_parks","gps_transit_stations","gps_workplaces","gps_residential","gps_away_from_home"
"266",2020-02-29,1,0.0286,0.0186,0.114,0.0171,0.0271,-0.00857,0.01
"267",2020-02-29,2,0.0242,-0.00262,0.0684,0.00496,0.0352,-0.00216,0.00426
"268",2020-02-29,3,0.0514,0.0343,0.217,0.0243,0.0171,-0.00714,0.0131
"269",2020-02-29,4,0.0743,0.0286,0.13,0.0286,0.0114,-0.00857,0.0119
"270",2020-02-29,5,0.0671,0.0157,0.137,0.0829,0.0243,-0.00857,0.0123
"271",2020-02-29,6,0.0286,0.00143,0.111,0.0171,0.0371,-0.00857,0.01
"272",2020-02-29,7,0.0757,0.0343,0.211,0.0329,0.0343,-0.0171,0.0193
"273",2020-02-29,8,0.0614,0.02,0.103,0.0314,0.00143,-0.00429,0.00553
"274",2020-02-29,9,0.04,0.01,0.299,0.0371,0.0157,-0.00571,0.00723
"275",2020-02-29,10,0.07,0.04,0.219,0.0471,0.0357,-0.0186,0.0222
"276",2020-02-29,11,0.0743,0.08,0.09,0.01,0.0257,-0.0171,0.0208
"277",2020-02-29,12,0.0171,0.0386,0.193,-0.0129,0.0357,-0.00429,0.00594
"278",2020-02-29,13,0.0457,0.00286,0.17,0.167,-0.0186,0.01,-0.00596
"279",2020-02-29,14,0.0686,0.0257,0.299,0.0343,0.0243,-0.00286,0.00562
"280",2020-02-29,15,0.05,0.0243,0.0571,0.0229,0.00714,0,0.00335
"281",2020-02-29,16,0.06,0.03,0.173,0.00714,0.0429,-0.0157,0.0192
"282",2020-02-29,17,0.0829,0.0186,0.174,0.109,0.0257,-0.0143,0.019
"283",2020-02-29,18,0.0643,0.00714,0.116,0.0257,0.0171,-0.00143,0.00544
"284",2020-02-29,19,0.0486,0.0157,0.0143,0.0486,0.0186,-0.00571,0.00795
"285",2020-02-29,20,0.0814,0.06,0.201,0.0386,0.0229,-0.0114,0.0139
"286",2020-02-29,21,0.0257,0.03,0.134,-0.00571,0.02,-0.00143,0.000327
"287",2020-02-29,22,0.08,0.0357,-0.207,0.161,0.0286,-0.0143,0.0169
"288",2020-02-29,23,0.0729,0.0143,0.147,0.0114,0.0314,-0.00857,0.0123
"289",2020-02-29,24,0.0771,0.0329,0.243,0.0429,0.0214,-0.00714,0.00832
"290",2020-02-29,25,0.0671,0.0171,0.289,0.06,0.03,-0.00429,0.0071
